"ASIGN_VALDYTOJAS","TIEKEJAS","POZYMIS","PROGRAMA","FIN_SALTINIS","SAMATA","SASKAITOS_NR","SASKAITOS_DATA","VALIUTA","SASKAITOS_SUMA","APMOKETA","APMOKETA_IKI_EIN_METU","APMOKETA_I_KETV","APMOKETA_II_KETV","APMOKETA_III_KETV","APMOKETA_IV_KETV","PASTABA","SUT_NR_FVAS","SUT_NR_AVILYS","ITRAUK_SUMA","PAR_DATA","PAR_NR"
"188710061","PODOLSKAITĖ, VIOLETA","Tarybos narys","16010101","01","1000002","AV2017/415","2017-10-06T00:00","EUR",271.15,0,0,0,0,0,0,,"-","-",,,
"188710061","PODOLSKAITĖ, VIOLETA","Tarybos narys","16010101","01","1000002","AV2016/338","2016-09-30T00:00","EUR",900,0,0,0,0,0,0,,"-","-",,,
"188710061","PODOLSKAITĖ, VIOLETA","Tarybos narys","16010101","01","1000002","AV2017/390","2017-09-29T00:00","EUR",900,0,0,0,0,0,0,,"-","-",,,
"188710061","PODOLSKAITĖ, VIOLETA","Tarybos narys","16010101","01","1000002","AV1-90/27-06.2019","2019-06-30T00:00","EUR",900,0,0,0,0,0,0,,"-","-",,,
"188710061","PALUCKAS, GINTAUTAS","Tarybos narys","16030101","01","1000012","AV2016/10","2016-01-29T00:00","EUR",156,0,0,0,0,0,0,,"-","-",,,
"188710061","PALUCKAS, GINTAUTAS","Tarybos narys","16030101","01","1000012","AV2016/180","2016-06-29T00:00","EUR",207,0,0,0,0,0,0,,"-","-",,,
"188710061","PALUCKAS, GINTAUTAS","Tarybos narys","16030101","01","1000012","AV2016/143","2016-05-18T00:00","EUR",61.9,0,0,0,0,0,0,,"-","-",,,
"188710061","PALUCKAS, GINTAUTAS","Tarybos narys","16030101","01","1000012","AV2017/530","2017-11-24T00:00","EUR",223.41,0,0,0,0,0,0,,"-","-",,,
"188710061","PALUCKAS, GINTAUTAS","Tarybos narys","16030101","01","1000012","AV2018/244R","2018-08-13T00:00","EUR",46.94,0,0,0,0,0,0,,"-","-",,,
"188710061","PALUCKAS, GINTAUTAS","Tarybos narys","16030101","01","1000012","AV2018/110R","2018-04-19T00:00","EUR",279.94,0,0,0,0,0,0,,"-","-",,,
"188710061","LIUDKOVSKI, ARTUR","Tarybos narys","16010101","01","1000002","AV1-90/20-09.2018","2018-09-30T00:00","EUR",899.99,0,0,0,0,0,0,,"-","-",,,
"188710061","ILGIUS, VAIDOTAS","Tarybos narys","16010101","01","1000002","AV2016/72","2016-03-31T00:00","EUR",446.54,0,0,0,0,0,0,,"-","-",,,
"188710061","ILGIUS, VAIDOTAS","Tarybos narys","16010101","01","1000002","AV2018/181","2018-03-30T00:00","EUR",886.56,0,0,0,0,0,0,,"-","-",,,
