"SASKAITOS_METAI","KREDITORIUS","KREDITORIAUS_NR","SUTARTIES_NR","SASKAITOS_DATA","SASKAITOS_NR","DK_DATA","TERMS_DATE","TREMINAS","VALIUTA","INVOICE_TYPE_LOOKUP_CODE","FIN_SALTINIS","PRIEMONE","SAMATA","EKON_KLAS","ASIGNAV_VALDYTOJAS","ASIGN_VALD_APRASAS","EILUTES_SUMA","APMOKETA_SUMA","SKOLOS_SUMA","SKOLOS_SUMA_ES","DEPARTAMENTAS"
"2008","SEB bankas","11120212388",,"2008-12-31T00:00","KS A64-34","2014-12-31T00:00","2008-12-31T00:00","Nedelsiant","EUR","STANDARD","01","16050101","2000170","3.3.1.4.1.2.","0000000","Nedetalizuojama",8058959.19,8058959.19,0,,"Biudžeto skyrius EUR"
"2010","Nordic Investment Bank","NIB",,"2010-11-10T00:00","L5248/gauta","2014-12-31T00:00","2010-11-10T00:00","Nedelsiant","EUR","STANDARD","01","16050101","2000170","3.3.2.4.1.2.","188708377","Finansų departamentas",1486049.64,1486049.64,0,,"Biudžeto skyrius EUR"
"2012","UAB Mano Būstas NPC (Namų priežiūros centras,UAB)","125596783",,"2012-01-31T00:00","NPCG12001200n","2022-11-01T00:00","2012-01-31T00:00","30 dienų","EUR","STANDARD","01","202060205","6000737","2.2.1.1.1.30.K.","188710061","Savivaldybės administracija",4.03,0,4.03,,"Administracija EUR"
"2012","Vilniaus miesto savivaldybės administracija","188710061",,"2012-02-29T00:00","ŽN/201202korekcija","2014-12-31T00:00","2012-02-29T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",1508.32,0,1508.32,,"Administracija EUR"
"2012","Nordic Investment Bank","NIB",,"2012-11-06T00:00","L5440/gavimas","2014-12-31T00:00","2012-11-06T00:00","Nedelsiant","EUR","STANDARD","01","16050101","2000170","3.3.2.4.1.2.","0000000","Nedetalizuojama",816558.74,816558.74,0,,"Biudžeto skyrius EUR"
"2012","Vilniaus viešasis transportas, UAB","302683277","29-462(1.2.16-AD4)","2012-12-28T00:00","VVT 0001657/1","2014-12-31T00:00","2012-12-28T00:00","30 dienų","EUR","STANDARD","13","15020104004","3001079","2.8.1.1.1.2.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",1835541.37,1835541.37,0,,"Administracija EUR"
"2012","Vilniaus miesto savivaldybės administracija","188710061",,"2012-12-31T00:00","ŽN/201212-1","2014-12-31T00:00","2012-12-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",65285.2,0,65285.2,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-01-31T00:00","ŽN/201301/2","2014-12-31T00:00","2013-01-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",-25921.59,0,-25921.59,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-01-31T00:00","ŽN/201301/2","2014-12-31T00:00","2013-01-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",25921.59,0,25921.59,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-01-31T00:00","ŽN/201301/2","2014-12-31T00:00","2013-01-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",-25921.59,0,-25921.59,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-01-31T00:00","ŽN/201301/2","2014-12-31T00:00","2013-01-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",25921.59,0,25921.59,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-01-31T00:00","ŽN/201301/2","2014-12-31T00:00","2013-01-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",-25921.59,0,-25921.59,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-01-31T00:00","ŽN/201301/2","2014-12-31T00:00","2013-01-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",25921.59,0,25921.59,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-01-31T00:00","ŽN/201301/2","2014-12-31T00:00","2013-01-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",25921.59,0,25921.59,,"Administracija EUR"
"2013","Vilniaus miesto savivaldybės administracija","188710061",,"2013-03-31T00:00","ŽN/201303/2","2014-12-31T00:00","2013-03-31T00:00","Nedelsiant","EUR","STANDARD","01","0000000000","0000000","1.4.5.1.3.1.","188710061","Vilniaus miesto savivaldybės administracija",1856.68,0,1856.68,,"Administracija EUR"
"2013","Baltijos būsto priežiūra, UAB","302496377","29-396(1.2.16-AD4)/1","2013-04-19T00:00","EC 00001680 T FINAN","2014-12-31T00:00","2013-04-19T00:00","180 dienų","EUR","STANDARD","01","14010121","3000790","3.1.1.2.1.3.","188751791","Administracija (buvęs Miesto ūkio ir transporto departamentas)",617825.39,617825.39,0,,"Administracija EUR"
